gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
PRAG1,5.26752044514539,6.01033076996665,1.04193863599371,1.6370890670486e-09,1.90359753722842e-07
DHRS9,18.4472114292165,5.91752316124433,1.02568138562997,1.71203812002807e-09,1.97621684891415e-07
MYO7B,11.4735792021338,6.14501672076796,1.07023853834111,1.77138986519684e-09,2.02991009624803e-07
TMEM132A,6.90918741701439,-2.43995029035745,0.46928585194984,1.86199228770827e-09,2.05912909355374e-07
SYVN1,21.1238982861334,-1.9829444289089,0.40278299565739,1.8551556239925e-09,2.05912909355374e-07
C17orf49,6.25728043228554,6.17878004940095,1.07800590992194,1.84089784752615e-09,2.05912909355374e-07
AF117829.1,4.65340094605938,5.81480225639163,1.0081463424274,1.82274770956016e-09,2.05912909355374e-07
AC010503.4,7.82267385607227,6.07457918529263,1.05806208719821,1.84924999231278e-09,2.05912909355374e-07
AC008397.1,14.34629889248,6.70706081809893,1.18367278327299,1.90790390024699e-09,2.09524946378514e-07
LETMD1,22.3405049865052,-1.29392248935729,0.239794874791023,1.96759530921464e-09,2.14590015309796e-07
SMIM29,5.75351400927665,5.72984696666657,0.995050171028423,2.00999520707155e-09,2.1771276852486e-07
AC007952.4,25.0931218141176,7.11755079729594,1.271897948442,2.07280147703886e-09,2.22988316720357e-07
MARCH3,12.1732343658428,2.91770953545167,0.527719236984488,2.1384291738729e-09,2.26960529903531e-07
ELF3-AS1,5.4451880764134,6.06910860139566,1.06147879477362,2.12599576109236e-09,2.26960529903531e-07
NMD3,27.9767750479098,-1.520872473816,0.298586448312433,2.18056841498013e-09,2.29890059429972e-07
BTNL8,12.2291364830907,4.2691916054501,0.734323517310959,2.27345997301645e-09,2.37834549959867e-07
ALAD,14.1951469564092,-2.08577359642323,0.423910729100024,2.28600300960539e-09,2.37834549959867e-07
CREBL2,10.633665060932,-1.57153473606257,0.31262146705183,2.34248534156964e-09,2.41372560454949e-07
PSMA6,37.5952577643654,3.71969984711237,0.643704405041916,2.35053587391313e-09,2.41372560454949e-07
AC027644.3,5.11240883963821,5.99990896285842,1.0527789729525,2.45671517644854e-09,2.49444164798961e-07
HSPA14.1,6.17885541804681,5.9208284686845,1.03759972793088,2.46068608249892e-09,2.49444164798961e-07
ARL17A,2.82402402568417,5.32896318671128,0.926560691419437,2.51183453962562e-09,2.51406021579997e-07
CEACAM5,157.846411238996,4.22301562999752,0.728520456831471,2.50044004423494e-09,2.51406021579997e-07
KLK1,19.5505368034862,4.28629979144311,0.739684731624145,2.53187809384505e-09,2.51818365887205e-07
CEACAM7,4.60829051585341,5.89784259993604,1.03932318295857,2.98419221284332e-09,2.94950097836901e-07
CDKN2B-AS1,2.1740824586857,5.03788499126505,0.879552175311624,3.20635528374201e-09,3.1270041095789e-07
BATF,9.1263371082228,3.15041015303673,0.56545852531403,3.18362191970435e-09,3.1270041095789e-07
RTL8A,17.9115674473697,6.47306243473435,1.1556359796234,3.22837235554166e-09,3.1270041095789e-07
WASHC2C,6.74519796333382,5.91167664476126,1.04468453532259,3.24287766517604e-09,3.1270041095789e-07
KIAA1211,4.45324273710768,5.79656885789237,1.02331134087622,3.33201715195588e-09,3.19348601460789e-07
AC091271.1,13.011264215259,6.40018478272011,1.14375737697744,3.48967849352356e-09,3.32444431907118e-07
CCNG1,43.0207624809907,-1.46934228705045,0.290230686629421,3.55384733683427e-09,3.36530190327528e-07
NPNT,9.92114961909875,4.03406225073597,0.704468948754706,3.5956625699224e-09,3.36976530013223e-07
AL390719.2,7.07631144944647,6.30280454197053,1.12531534148938,3.60117829595515e-09,3.36976530013223e-07
PF4,2.50934993258973,4.66067003776713,0.814252230888927,3.63084396293015e-09,3.37753920175161e-07
PLA2G2A,48.8547085253312,5.65548041178819,0.999407096139975,3.68844447463505e-09,3.39122447220225e-07
HMOX2,47.1092294310472,-1.19761008554142,0.221877236116608,3.68543038074394e-09,3.39122447220225e-07
MT-RNR1,73.3941026169988,-28.2006097624131,5.15184553883361,3.78740434871194e-09,3.42346555615866e-07
MT-RNR2,332.27371404943,-28.2006258562689,5.15182078652306,3.78696941471461e-09,3.42346555615866e-07
MTATP6P1,25.4466881048435,-28.2005708445146,5.15190539429251,3.78845625602483e-09,3.42346555615866e-07
RP11-632C17--A.1,8.36155714777569,-28.1904880549713,5.15333660128824,3.8358382918198e-09,3.44658788334308e-07
TBX3,9.68213864036047,4.12993410419929,0.722455370790652,3.86991429988528e-09,3.45756071968281e-07
MTRNR2L12,246.199196632417,5.34393798823964,0.942060502711646,3.9162742966952e-09,3.47932369258078e-07
LRRC75A-AS1,19.2394831068303,-28.1607883854788,5.15693726139885,3.96773106484947e-09,3.50534631617484e-07
SNORC,4.09732701130556,5.75555984959985,1.02347098085123,4.28895751665149e-09,3.74726929106777e-07
